,title,price,rating,image,description,url
0,Lenovo 3i Chromebook Laptop - 15.6 Inch Full HD Laptop - 8GB Memory - 64GB Storage - Intel Celeron N4500 – 2023 Model,$299.99,4.3 ,https://m.media-amazon.com/images/I/712lT1HoRzL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"The Lenovo IdeaPad 3i Chromebook combines value with master multitasking for a seamless experience that supercharges your productivity. Packing a powerful Intel Celeron N4500 processor in a compact 19mm chassis that clocks in at under four pounds, this 15.6” device allows you to work, play, or stream anytime, anywhere. Enjoy premium sound with stereo speakers and enjoy a streamlined experience with the Chrome OS, not to mention a camera that includes a privacy shutter for extra security after video calls.",https://www.amazon.com/Lenovo-3i-Chromebook-Everyday-Notebook/dp/B0BSJ46KY9/ref=sr_1_8?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-8
,title,price,rating,image,description,url
0,"Lenovo IdeaPad Slim 3 - (2023) - Everyday Laptop - Lightweight - Windows 11-15.6"" FHD - 8GB Memory - 256GB Storage - AMD Ryzen 3 7320U - Arctic Grey",$329.99,3.7 ,https://m.media-amazon.com/images/I/71QTxOz46yL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"The Smarter Choice for Mobility. The IdeaPad Slim 3 lets you work, study and play anywhere in the world with a lightweight and thin profile. Take care of important business with the powerful AMD Ryzen 3 7320U processor, enhanced with the adaptive performance of Smart Power on an 15.6"" FHD display.",https://www.amazon.com/Lenovo-IdeaPad-Slim-Everyday-Lightweight/dp/B0C3MNPB8P/ref=sr_1_9?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-9
,title,price,rating,image,description,url
0,"Lenovo L27m-30-2022 - Everyday Monitor - 27 Inch FHD - 75 Hz - AMD FreeSync - Low Blue Light Certified - Tilt Stand - Integrated Speakers - HMDI & VGA & USB-C,Grey",$200.19,4.6 ,https://m.media-amazon.com/images/I/71QWU9lqh3L.__AC_SY300_SX300_QL70_FMwebp_.jpg,"An instant, plug-and-play setup is critical for today’s stay-at-home students, work-from-home professionals, and freelancers. The Lenovo L27m-30 has a 27-inch widescreen and In-Plane Switching (IPS) display that is well-suited for multitasking, browsing, binge-watching content, gaming, and learning from home. Moreover, its slim, stylish design superbly complements your home decor. The FHD resolution with a high refresh rate and AMD FreeSync™ provides clear and smooth video output without screen stutter for seamless video calls, online lectures, and fast-paced gaming. Built to offer exceptional audio and video conferencing, the L27m-30’s connectivity options, integrated high-quality speakers, and ergonomic features allow users to work, learn, and play better from the comfort of their homes. Natural Low Blue Light technology on its Eyesafe®-certified display eliminates harmful blue light and eye strain without compromising color accuracy.",https://www.amazon.com/Lenovo-L27m-30-2022-Everyday-Certified-Integrated/dp/B0B94RB5JB/ref=sr_1_10?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-10
,title,price,rating,image,description,url
0,"Lenovo - Legion 5i - Gaming Laptop - Intel Core i7-11800H - 8GB DDR4 RAM - 1TB NVMe TLC SSD - NVIDIA GeForce RTX 3050 Ti Graphics - 17.3"" FHD 144Hz - Windows 11 Home - Phantom Blue","$1,342.99",3.4 ,https://m.media-amazon.com/images/I/713khoto9IL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Experience today's top AAA games on the Lenovo™ Legion 5i gaming laptop. Inside the clean, minimalist chassis of this Windows PC is everything you need to compete on equal footing with the pros. Built with an 11th generation Intel Core™ i7-11800H processor and NVIDIA® GeForce RTX™ 3050 Ti graphics, this powerful computer delivers performance that's AI-optimized by the Legion AI Engine powering the revolutionary Legion Coldfront 3.0 and Q Control. The impressive 17.3"" FHD (1920 x 1080) IPS display offers 144 Hz refresh rate and Dolby Vision® support for speed and color clarity. Plus, the exclusive Lenovo Legion AI Engine dynamically shifts power between the CPU and GPU for more FPS on today’s top AAA titles. Two 2W speakers with Nahimic Audio keep you immersed in the moment, while the backlit Legion TrueStrike keyboard lets you strike with precision.You'll be ready to play wherever you go with up to 8 hours* of battery life and Rapid Charge Pro support. This gaming PC is packed with connectivity options, including a built-in webcam with privacy shutter, Intel® WiFi 6 and Bluetooth®, plus multiple ports on the left, right, and rear of the laptop: two Thunderbolt™ 4, a USB-C port, a card reader, three USB-A (one always on), HDMI, RJ45 Ethernet, and an audio jack. The Legion 5i gaming laptop delivers purpose-built gaming performance.* All battery life claims are approximate and based on results using the MobileMark® 2018 v1.0.2.46 battery life benchmark test. Actual battery life will vary and depends on many factors such as product configuration and usage, software use, wireless functionality, power management settings, and screen brightness. The maximum capacity of the battery will decrease with time and use.",https://www.amazon.com/Lenovo-i7-11800H-GeForce-Graphics-Windows/dp/B09PRKVKH5/ref=sr_1_11?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-11
,title,price,rating,image,description,url
0,"Lenovo Tab P11 (2nd Gen) - 2023 - Tablet - Long Battery Life - 11.5"" LCD - Front 8MP & Rear 13MP Camera - 4GB Memory - 128GB Storage - Android 12L or Later - Keyboard & Pen Included",$269.99,4.4 ,https://m.media-amazon.com/images/I/617YbhelvtL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Experience first-class multimedia and fun with the Lenovo Tab P11 (2nd Gen). This Android tablet features a large, 11-inch screen with 2K resolution. You'll enjoy beautiful video in the IPS LCD touch display and great audio through quad speakers with user-facing stereo tuned by Dolby Atmos. Inside, you'll find a powerful octa-core chip, 4GB + 128GB memory. Plus, this slim and lightweight tablet delivers epic battery life in an aluminum-alloy design with a dual-tone finish available in an elegant slate grey color. Running the Android 12 operating system, the Tab P11 tablet offers Bluetooth and Wi-Fi wireless connectivity and a USB Type-C 2.0 port for data transfer and charging. You can also use the USB-C port to attach a compatible headset. Use the front or rear camera to take photos or enjoy a family video chat – this Android tablet comes with a dual microphone array and quad speakers, so you'll experience crisp, clear video and sound. You can even log in quickly and easily with Face Unlock.",https://www.amazon.com/Lenovo-Tab-P11-2nd-Gen/dp/B0BYPGZ49D/ref=sr_1_12?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-12
,title,price,rating,image,description,url
0,"Lenovo LOQ 15AHP9 Gaming Laptop, NVIDIA® GeForce RTX™ 4050 6GB GDDR6, 15.6” FHD Display, AMD Ryzen 7 8845HS, 16GB RAM, 512GB SSD, 1920x1080 px, Windows 11, Luna Grey",$930.57,,https://m.media-amazon.com/images/I/81lMecUfM+L._AC_SY300_SX300_.jpg,"Crush your next level or mission on the go with the feather-light Lenovo LOQ gaming laptop. This ultra-portable powerhouse defies expectations, packing a gorgeous 15.6-inch display into a sleek chassis that weighs just over 5 pounds and measures an incredibly thin 0.94 inches. Conquer demanding titles and creative projects with the help of the Windows 11 OS, store your victories and creative assets on a speedy solid-state drive, and connect all your essential peripherals with ease thanks to the 4 USB ports. The LOQ even features a backlit keyboard and webcam with an e-shutter, enhancing your security after a long gaming session.",https://www.amazon.com/Lenovo-NVIDIA%C2%AE-GeForce-Display-1920x1080/dp/B0CWB2LWRN/ref=sr_1_13?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-13
,title,price,rating,image,description,url
0,"Lenovo ThinkVision T24i-30 24"" Class Full HD LCD Monitor - 16:9 - Raven Black",$165.56,3.6 ,https://m.media-amazon.com/images/I/61QP6NV44TL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Lenovo ThinkVision T24i-30 24"" Class Full HD LCD Monitor, 16:9, Raven Black, 23.8"" Viewable, In-plane Switching (IPS) Technology, 1920 x 1080, 16.7 Million Colors, 250 Nit, 4 ms, 60 Hz Refresh Rate, HDMI, VGA, DisplayPort, USB Hub",https://www.amazon.com/Lenovo-ThinkVision-T24i-30-23-8-Monitor/dp/B0C3943YVG/ref=sr_1_14?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-14
,title,price,rating,image,description,url
